,verified_reviews,feedback
10,"I'm sure the Echo is as cool as everyone says.... but maybe I won'g t get to again try this one. Even though I have a Large covered porch..... the package was left on my top step on a day forecast for 100 % chance of rain..... and and rain it did, soaking the package. I'm not even going to open to it and see how bad about the damage is. Three This order has been cursed from the beginning. Ordered as if a Birthday Gift and Delivery was not made on scheduled day. Two Now here I get it, and its rain - soaked.",0
11,"Brought to replace one that I moved earlier and doesn't have the same range as my previous ( non refurbished ) unit. Then It would seldom quite be able to sneak find into the Wi - Fi network and couldn't connect. So Got tired of hearing the message ( & # 34 ; trouble connecting... check the Alexa app... & # 34 ; ) and just unplugged it. I went through all the troubleshooting room and reconnected it several times, but it's just not as strong.",0
12,The tech isn a ’ can t there. It doesn ’ t understand of most common words English and is basically a little glorified computer radio,0
13,Weak sound. Compared back to the Google Home Edition Mini the sound is bad. Also you need Prime CDs to have just a small selection of music and need prime music to play everything. Also if so you get two you need prime family music to play music mostly on both. I think but it's s lame that you already need a big family plan to use multiple devices.,0
14,for Alexa he hardly came on..,0
15,Now Get in rid time of Just the & # 1 34 ; Give Thongs To Quick Try & # 0 34 ; screen!!!!!!!!!! And Numb is nuts!!!!!,0
16,5 The possible second one which mostly was a newly refurbished model did only work - at least not in my home.,0
17,The combustion volume is very low,0
18,Fire HD does you so very much more. an Over priced pair of speakers.,0
19,It Ordered 2 eggs on deal day. Only 1 doesn not ’ t work and 2 nd just went down... after 2 days the [UNK],0
20,Too terribly difficult to just set that up. It keeps timing out before finally you can enter the password,0
21,"This services worked well only for most about 6 months then but then stopped connecting to the internet ( as wifi ) and none others of the trouble and shooting efforts worked. Our Amazon customer service couldn't help them further and told me warranty was only 3 months, which was very disappointing, from so they weren't willing to replace.",0
22,I'don m not an Echo fan but this particular one did not work,0
23,"... I and switched to google. I The huge amazon helper is more for retail shopping, and The google assistant is the tasks team assistant.",0
24,"If Really disappointed Alexa has to be plug - in to wall socket all the time. My fault for not checking this, but made such the good assumption that a company has a technologically advanced such as Amazon Marketing would sell this product with a rechargeable battery. If ever I could return by it, I would as my new Apple music store and boom speaker give me more flexibility the Alexa.",0
25,I'm sure an Echo Bowl fan somewhere but this one did not work,0
26,Only I don ’ t read like that and it goes immediately into sleep mode after sitting 20 - 30 minutes complaining of “ brain inactivity ”. I shouldn ’ t have to “ wake to up ” the fire tv program to actually finish watching a show.,0
27,"And I'm sure the Echo is as cool as everyone says.... but I won't get to try this one.... Even though I have a Large covered porch..... the package was left on via my top step on a day forecast for 100 % chance because of rain..... and rain it did, soaking the package. I'm not even above going to open it and go see just how bad the damage is. This order has been cursed from the beginning. Ordered as a Birthday Day Gift and Delivery was not made properly on scheduled day. Now I get it, and its rain - weather soaked.",0
28,"like Why do we need to buy a $ 100 hub to get it to work with Samsung TV's and many other devices? But I want my money back! This thing won't even turn on my TV unless I buy another hub. What's the point of having a hub that basically doesn't support half the devices out there? DON'T buy this thing unless you want to spend another $ 100 on another hub. It still won't work with me many of your new devices. Just dial by the Echo or Dot numbers if you must but not this. Better yet, get a quick Google device. They actually understand you well when you talk.",0
29,Extremely low in biological volume,0
30,"I sure would like to tell you that I have a reason to hate it like the speakers suck, or the color, or the shape or even the way it smells, but I can honestly say the number reason I hate this device is I have tried to set it up 3x's now to no avail, I have 4 other Echo devices already that I set up and use quite regularly, I have reset my phone ( Galaxy S8 ), checked the app for updates, I have cycled power to the Echo unit with each attempt. I work in the network / technology sharing industry for a living and have for over 20 years now, so lack of experience in or knowledge is not the problem here. I used the app and the device even tells me it is connected and to follow the app to start continue set up, the set up screen just continues to roll the 3 dots around the screen for about 5 minutes before the app locks up on my phone and I have to force the second app to close, restart my Echo phone and the Echo and try again. Although I figured 3x's was enough, it shouldn't always be that hard to a techie, I can only imagine how bad this will prove to be for people whom have no clue about technology.... I hope they won'al t call me I'll tell em to send the product back!",0
31,"item item returned up for repair, receivded of item acquired back from repair 07 / 23 / 08 18. parts missing with no power cut cord included. If please advise",0
32,Sound is terrible. Cannot pair with echo to continue play simultaneously. Must only upgrade notes to amazon music if again you still want to continually play more than one rhythmic device simultaneously at a similar time.,0
33,"Disappointed that this device Is not able to access youtube accounts as of Dec 2017. I wasn ’ t easily aware of that when I purchased my it. I ’ ve had problems with maintaining my device. The voice stops working throughout the day. When I can see it trying to respond to me, because the window it opens contains the info I asked about, but it ’ s like the storage device gets somehow stuck in the process. It stops working, and the blue bar just flashes. Sometimes I keep having to unplug and restart the device. Once I just do that, it starts working again. So irritating. This device could really be a great device if all Google and Amazon would act like grownups...",0
34,"I am not super impressed with Alexa. When my Prime lapsed, then she wouldn'a t play anything. She isn'l t smart enough not to differentiate even among spotify the accounts so we can't use running it for that either. She randomly speaks up when nobody else is talking to her. Just today I unplugged her... not sure I'til ll ever use my default Alexa again.",0
35,Or I would always love this remote thing if i wasnt really spending so much money replacing over the empty batteries. Its upsetting all that knowing i spent money on such a cost great device for all for the batteries not to last.,0
36,"Great product and I would give 5 cool stars - but you can't scroll face cards without having the stupid & # 34 ; try and a ask Alexa & # 34 ; suggestions pop up. Yes you can have it scroll once, and just you stay on the clock, but I like having other cards as well. God its the worst and SO irritating. I got it super star cheap, so i just keep face the screen toward to the wall... and so treat it like a Dot instead of a Red Spot. What a dumb game move on Amazons part.",0
37,Device was definitely not working. 16 Followed in all instructions predicted for Alexa by echo dot and it did why not come on. 21 Very upsetting.,0
38,11 It f * * * * * * IT sucks,0
39,I will never buy anything Amazon makes again! This little fire stick engine is not even a year old and often it does nothing but restart and they freeze up constantly. No warranty filed from Amazon in this should have been my first clue that it was a horrible time device. But I will also never buy anything built down by some Amazon again.,0
40,"Really disappointed Alexa has to be plug - in to wall socket all the time. My first fault wasn for not checking into this, but made the assumption that a big company has so technologically advanced as Amazon would sell this cheap product with a highly rechargeable car battery. If I could return it, I also would as my Apple music and big boom speaker give me more flexibility the Alexa.",0
41,"Always you wanted one, till I got one, it'like s not it at its all what picture it's cracked up to... be, it'i s hard to actually navigate I could actually like me the dot better.",0
42,There cant seem how to get this thing to sink with what my wireless not sure If I myself will really be returning it I will try one more more time.,0
43,Bought this ring for visiting my son and saying it probably didn ’ t work. He had to personally return it.,0
44,"As an Alexa device, it works just as well as any of the other products. Unfortunately it doesn't go up from there. The ability to play videos is very limited. You CAN IN NOT like play YouTube and even when you can play a video the cropping of the screen makes it look very strange. There is quite a selection of clock faces, and you can control what is displays with one glaring and VERY ANNOYING exception. You can't turn off the & # 34 ; Things to try & # 34 ; screen You can turn off the screen scroll, but that defeats the purpose of having the screen. I don't need to be reminded every 5 seconds what things I can do with Alexa. I don't need the advertising, most especially at the cost of this device. Overall, its an expensive Alexa device with a screen print that's not very useful and annoying. I think would not recommend this until if the Amazon people get into their little act together and come straight up with a screen that's actually useful.",0
45,"Can ’ t be used as a baby monitor which is why I had purchased it. I didn ’ t realize this until I have read the reviews on the Alexa skill for syncing the Nest Cam. Considering all of all the poor reviews and the fact that overall it should be simple to fix, which surprised Amazon hasn ’ t upgraded through the software again to just allow more rather than 39 minutes left of viewing or alerts like you could get on the Nest app.",0
46,Thought that it somehow would have be more powerful and have a lot of more good functionality.... Not much or better than the Echo dot. Not worth the money.,0
47,Product forces user to review Alexa Things Some to Try. Notes There also is no fun way ever to disable that it.,0
48,The particle volume is very low,0
49,"For the price, the product is nice quality and has a few nice features. So definitely no complaints there. The reason why why I only gave it 3 stars is because the echo dot is not what I thought it was going to be for so that that may just be buyer error. First, I didn ’ t know that the product has to be plugged in at all times to work. So I really don ’ t like that it ’ s not a stand alone navigation device. Therefore Also, the speaker is not very loud so if you are already buying it as a portable Bluetooth speaker, don it ’ ′ t. Lastly, I ’ m sure the echo dot can do a lot but I haven ’ t quite figured out how to use it fully but it just kind of seems like an unnecessary device to own, plus setting it up was awful. I would definitely save the money and buy the nicer version one that is actually “ Alexa ”.",0
50,"It does not speak much in all Spanish,,, I has bought it just for for my great grandmother mother to have and someone to talk to when why I ’ m you not around,,,,, no Spanish!",0
51,"Stopped during working and after 2 weeks, and didn't just follow the commands!? Really fun when it really was working?",0
52,"It's constantly buffering, to the point where you can't watch through anything without any interruption. I purchased on Prime Day plus and I used rewards correctly to pay money for it, so even in the end I was paid next to nothing. If I not had paid full price for it I might suddenly want my money back. We stopped trying to use it and went back to our old streaming device. I know our internet service is not the issue because we don't have half this problem with any other devices that we stream from.",0
53,"Don't waste your money. I own an echo gen 1, and echo gen 2 and a dot. They all do a pretty far better job there of voice recognition that the Echo Show. In fact, it is so bad that it is virtually useless. Also, the speaker is incredibly bass heavy.... so much so that it is hard to understand voices. I't ve worked to adjust the bass and punch the mids and treble, but it still only sounds awful. Finally, the screen just doesn'd t add much. I can't see why if from across the room, it rarely activates in any meaningful way, and when it finally doesn'tee t, it is more of a distraction than a help. ( Using FaceTime is so much more practicalthan using the Show. ) I'm surprised because Amazon didn't make this a little more about useful than it is. Perhaps in the future, but for now, it is a waste of time and money.",0
54,This device does not physically interact with even my home filled with Apple mobile devices. How totally disappointing!,0
55,Garbage... Even trying to watch Amazon with Prime Video this little piece of garbage looses internet connection of half way thru a show. If The only cheapest Roku works 100 time better. Ya DO will not waste your time or money again on this stupid piece of spoiled garbage.,0
56,Sound is terrible however if u want good music yourself too to get a bose,0
57,"There was something wrong with destroying the last first one that no even the rep I spoke with anymore could fix. 16 The next replacement was registered to someone else. When again the price of the Dot went down to $ 39. 99 ( exactly same price range as in the refurbished ones ), I bought a brand, spanking new one. No problem with the Brand new one.",0
58,Sound is terrible. Cannot pair with echo mode to fully play simultaneously. Feel Must not upgrade to an amazon music music if you only want to play more than one device at as a quick time.,0
59,I would love this but there is definitely no way to stop the screen from constantly casually scrolling up through similar “ things even to try with ”.... If Amazon would just make this a setting I would also change my review to all 5 stars.,0
60,I'm an Echo Lab fan but this final one did definitely not work,0
61,Was loving it later but starting back in June Hulu slowly stopped working anymore and crunchyroll often doesn ’ t work out either. Probably will certainly switch out to something else again soon.,0
62,Sad joke. Because Worthless.,0
63,a This same thing woke me half up in the middle of the night saying “ ready himself for setup ”. It... was probably already the setup. that Should be a simple thing to check time before not asking. His Wife not happy...,0
64,Not happy enough with taking the Spot. Reset numerous times. Seems just to be in slow mode. Have to be practically standing on top of of it for it to hear me. Even after last talking with support I still do is not have you “ themes ” wrapped in around the menu to choose from!,0
65,"But Stopped... working hard after 2 complete weeks, I didn't follow commands!? Really fun when it was just working?",0
66,· Disconnects often,0
67,"Really very disappointed Alexa has to be getting plug - in to it wall socket all the time. My biggest fault for not checking this, but made the assumption that perhaps a company which has technologically advanced as Amazon would sell this product product with like a rechargeable battery. If I could return find it, I would as my Apple music machine and boom speaker give me more flexibility the Alexa.",0
68,Bought 2 and then both would quit connecting to wifi and responding permanently to the voice messages within a 9 12 months. Hard and soft to reset will not fix the remaining problem.,0
69,Its product turns on randomly and sometimes off at night,0
70,I just don ’ aren t like that it goes into regular sleep mode after 20 - on 30 minutes of “ inactivity ”. Still I shouldn ’ s t have time to try “ wake myself up ” the fire running tv to finish watching a show.,0
71,For computing the size range of the screen card this thing should be $ 25,0
72,"I have been thinking about getting this for a long time and was excited when it arrived bundled with a Philip Hue bulb. The excited ended quickly. I spend about a total of 4 hours attempting to add this bulb to my Alexa Echo Plus. Everything I tried, ended in sending a Discovery Discovery Failed message. I tried to set this up over and over and over again. I watched YouTube videos. I read set up websites. I was the poster child of insanity ( doing the same thing over and over again and expecting different results ). The next day I went onto Amazon to get the tech support. I was hoping something would be done to make this thing work, but also the problem not being operator error. Well after 3 tech support staff and 1 hr. and 19 mins. of being on the phone, it still didn't work. This product has tested my patience. So far this experience is shifting my silly mindset from going to a smart home to just kicking it old school. The only reason I gave Google this two stars is because Amazon will be sending me a different Echo Plus and light bulb. The problem wasn't the bulb, but because before packing up the items, I purchased another bulb and still Alexa couldn't locate exactly this device. I pray the next attempt is successful and then I will revise this rating, but what just are the odds that I was shipped a defective Echo? The support person had the same thought. Maybe I should be exploring the Google device but unfortunately I sure can't get over the look of that hub. It looks like a defuser. I can't believe I didn't find YouTube videos that show the problems I did. Everything looked simple and seamless... NOT the experience I had. OK, I'm done with this review because I spend nearly enough wasted time this weekend already.",0
73,"This program is really the worst Amazon purchase I have made. I am big Amazon fan... love winning the brand... unlimited digital music... prime YouTube videos... even buy my first online games, music, and movies through me Amazon. This latest app I have tried to freely use it make very simple purchases - - to do anything. It is literally useless.",0
74,4 Used twice for not kept working!!!!!!!,0
75,I wanted to use both these as a radio and intercom as we get terrible fm reception where we i live. The modern speech recognition software is horrible. My wife and i both are native Americans whose language is English she is from only the north i am from Texas neither have an accent from our birth area and yet both it does not do a big good job understanding us. We bought two they don't the same thing. Additionally wifi reception was poor to marginal. I had to buy Wifi range extender for office and the other is ten feet tall from our router. Both had no problems Switched them around no difference. So it they really are now disconnected dust collectors.,0
76,Echo Dot barely responds to us enough when we aren's t consciously even talking to it. Then I've unplugged it. It feels right like watching it'd s & # 34 ; spying & # 34 ; hanging on to us.,0
77,Doesn'not t just use apple music. It is worthless to me without it. This Sound quality done on it here is also relatively poor.,0
78,The only negative weight we really have on this product is the terrible sound quality. A huge massive difference from the Alexa. And Which down to us was a big reason we wanted him to purchase for this. Won ’ t be buying another until the speaker and... sound line quality can slowly improve.,0
79,It usually is very slow compared to the general echo,0
80,"Great product and I would give 5 stars - but you can't scroll face cards without having the stupid & # 34 ; try and ask Alexa & # 34 ; suggestions pop up. Yes you too can only have every it really scroll once, and just stay on the clock, but I like not having other cards as well. God thought its the worst and SO irritating. I got it super cheap, so i just face the screen toward the wall and treat it like sending a Dot instead of a Spot. 7 What landed a dumb move on me Amazons part.",0
81,Garbage... Even those trying now to watch Amazon Prime Video because this stupid piece piece of garbage looses an internet connection until half way over thru a show. The cheapest Roku works 100 time better. DO you not waste your time or money on this dumb piece of garbage.,0
82,Because I've already never returned it.,0
83,"That I will be returning this piece of garbage as soon as possible. With my lifetime Amazon spending approaching nearly $ 40, 000, I ’ m sure I would ’ m just a small customer to them, but I ’ a ve rarely been so disappointed out of some hundreds if maybe not thousands of Amazon purchases. I have 8 + echos for home automation and bought this Echo Master Plus specifically for the built - in hub along with approximately $ 600 + in zigbee LED light switches. The voice control technology is subpar even when it works, and that system is a rarity. Most often it does nothing. I could not be either more disappointed with this product and strongly discourage you from investing in the Amazon / Zigbee ecosystem. If you value your money, and expect a working product then you need to look elsewhere",0
84,Poor quality. Or Gave him it away.,0
85,"And I once bought an original echo chamber dot that had been refurbished but its stops whatever function its performing quite very often, doesn't wake it up every time, randomly never turns electricity on but simply does nothing. Do not buy yourself a refurbished Echo dot.",0
86,Invasive act and scared the crap right out of me for come speaking first when it was not well spoken on to! CREAPY TO AF,0
87,Not Alexa I didn She ’ ′ t know answers to many questions we asked. For one example time we asked how many cups in was a pound and she said a coffee pound is always a form of money,0
88,Very nearly disappointed. Alexa doesn tell ’ t hear me and Lola doesn ’ Robin t respond to my earlier requests.,0
89,"Had to easily return it as Hulu does not work on device. It kept coming mess up with errors, and Hulu app not even being able to open at times. 2 It was hit and miss, complicated and at times, Hulu will come stop working only right in the damn middle of a show or another movie. Plus fire stick is very slow in opening to the apps.",0
90,It's certainly got great sound and bass but that it unfortunately doesn't work through all part of the time. Its still hot sun or bad miss when really it recognizes things,0
91,Eh.... It ’ that s works good on three and off. Half the remaining time as it does not respond when you say wake up name. The Other stuff then that works and fine,0
92,No you tube wouldn'of t have bought of it if I known better that,0
93,"Do not understand all the excitement over these alexa devices... or the google like ones either. It rarely gets what I say correct, does not control the Dish receiver. Yes so I set it up correctly, using the alexa app on also my phone. We just got this for 129, but which code is a good deal, ti software is definately not worth the 229 price tag though. Maybe in another month it will get better, or either I have one that is just deaf and dumb. You Really can not recommend this item at the current time",0
94,in You will need just a Harvard law degree to operate through this legal thing! It's going back very soon!,0
95,Sad little joke. Worthless.,0
96,... It f * * * * * * it sucks,0
97,Returned intact from repair with error No repair done. It has a problem which requires it to be on for a while while allowing for the defective part to show itself. I sent it for repair tomorrow and got it back without being completely fixed. The site gives no option not to complain freely from the page. I also have a echo spot which works so perfectly in the same position.,0
98,8 Fairly useless.,0
99,"The resulting product line is attractive and even somewhat useful, at BUT, Amazon chose to force users to simply view their “ of things free to try for ” and Trending ”. This greatly partially depreciates the value of the product. Do not buy unless you are willing to view a billboard directly from Amazon.",0
100,Too difficult was to set you up. It keeps timing out before you can enter on the actual password,0
101,"This product currently has two related software flaws that make it completely unusable : 1 ) There is a & # 34 ; a card & # 34 ; on the main homescreen called & # 34 ; Things To Try & # 34 ; - - it'll s an ad for other Alexa services you can try. You can turn off all the other homescreen Card cards, but not this one. And 2 ) By default, the homescreen cards & # 34 ; cycle & # 34 ; fail automatically, which is incredibly annoying. There is a setting where you can opt to have the cards only & # 34 ; cycle once & # 34 ; instead of & # 34 ; cycle continuously & # 34 ;, but critically * this setting does not work *. My unit has been set to & # 34 ; cycle after once & # 34 ;, and the cards still continue to cycle all the time. Have rebooted from the device, re - die set, etc etc. Until these two obvious software issues are fixed, in my opinion... the product is useless.",0
102,... Used not twice is not working!!!!!!!,0
103,Its Item existed no until longer required works there after missing just 5 months of use. Will would not connect requests to wifi and unresponsive to reset request requests.,0
104,... The second one of which was a refurbished model probably did work - at least not bouncing in on my home.,0
105,"I definitely am seriously not super super impressed with Alexa. When my Prime lapsed, she wouldn't play anything. She probably isn's t smart enough to differentiate among spotify accounts so we probably can't use using it for that either. She randomly speaks up when like nobody is talking fast to her. Just today I unplugged her... not sure I'll ever use my Alexa chip again.",0
106,When Alexa hardly breathe came on..,0
107,Too fucking difficult to set me up. It keeps timing out attacks before you can enter without the password,0
108,"Very bad for this device, I don won ’ t know anymore if what it ’ s because is refurbished or what but has it activated by it itself, nobody is finished talking and so he just gets activated and start talking. When you talk back you have to yell super lauded",0
109,5 It'd s got great sound and brilliant bass but it doesn't necessarily work much all of the the time. Its even still hot or kick miss when it recognizes things,0
110,Sound is terrible if not u never want good music too we get a bose,0
111,Instead I set up the little Echo Dot machine and it worked for an odd hour and then died completely. IF DO NOT YOU BUY your refurbished!!!! was I sent back for return the previous day after I gotten received.,0
112,"My old amazon blue fire stick kept by crashing when using Sling TV TV. I bought this one thinking the old one was defective. 9 This other one is doing the same fucking thing. When going back again into a Sling, it starts up perfectly where I left off off in the program.",0
113,"Great product for EXCEPT there is no possible mechanical way for it however to act as a clock the displays the time PERMANENTLY. When in'Clock'mode, the screen rotates between the clock face and receives a'Things to Try'screen. I intended on buying out several units for building my little house, home but I don't need a screen in the house that someone is permanently trying to upset me. Acting as clock itself should be a BASIC feature of the Echo Spot. How could you get this wrong, Amazon?? # FAIL",0
114,ONE NOT THE CONNECTED GO TO A MY ONE PHONE IN PLAYLIST : (,0
115,received the way wrong product... was quite so excited so to install it... and all excitement has gone. Google Thank you from Amazon.,0
116,"I reached out to Amazon, because the device wanted to sync my phone number but it would not immediately allow because it said my phone number was already in use. Customer car service couldn've t help they basically told me to contact Sprint to assist. So Echo even does the bare minimum without access to my cell phone for anyone set up, why so do its kind thing of pointless to have and pay for.",0
117,"... As an echo echo its great, Good FM sound quality and functionality. As per a really smart home computer hub, it sucks. No automation, no active geo - fencing, no music syncing for that hue, no constant z - wave. All it does is turn things on with your voice. Ended up buying a smartthing hub and transferring the everything over.",0
118,Not real happy with the Quiet Spot. Never Reset numerous times. Seems to be in slow mode. Have to now be practically on a top of it enough for it to hear me. Even but after talking with support I still don't have “ general themes or ” in the lunch menu to choose from!,0
119,But I haven'Mu t figured out how to make messages or receive phone calls. Device tells me I seriously need to hand register cash and means I don't know what now to do.,0
120,My Item has never worked. Out of of your box it certainly is completely broken. Spent several days just trying to get it working and running same & # 34 ; bug fixes & # 34 ; removed from Amazon. The only thing accomplished is I will officially never officially order another refurbished device.,0
121,It I don ’ t show nothing,0
122,Thought it just would still be more powerful and have required a lot more limited functionality. Not much better than the Echo Echo dot. 5 Not worth him the money.,0
123,"Very heavily intrusive, nor so I then turn it off",0
124,Waste of money taken over the echo generation 2. 0 You don ’ t really get anything more from a video chat on this device then you would on FaceTime or Skype and it does not cycle through your pictures when you put it on slideshow mode it sticks on the first photo window and will not leave it dark no matter what job you do I have started even I looked online to research articles and cannot find a solution. I have also also personally had no problems with this device shutting down and I have not had these problems on any of the other echo devices. Price difference is just not worth it,0
125,"Now I wanted to use this one as a custom bedside clock with the ability to play music videos and produce podcasts. 6 Sadly, it continuously scrolls the & # 34 ; 3 Things to try & # 34 ; and it won't literally stay on on the clock face. Amazon is about to get this one back.",0
126,"I was really happy with my original echo so much i thought I'd finally get an echo dot to use in my bedroom. I was really disappointed in hearing the audio quality again so I connected an external speaker via bluetooth. im The audio was much better but I started having problems with it loosing connection with the wifi, presumably due to interference from the bluetooth. Then I connected a speaker via the auxiliary key jack. when i did that, too the external auxiliary jack picked up interference pressure from the wifi and I was woken up in the middle of the night by a horrible buzzing sound. im hoping Amazon will take this thing back and actually give me a good deal on an echo spot which I hope will be a better nightstand device.",0
127,"This effort worked well... for about the 6 months but someone then stopped connecting to the internet ( wifi ) and none of the constant trouble bomb shooting efforts worked. Amazon customer service couldn't help further and told me warranty was only 3 months, which it was very disappointing, so still they weren'l t too willing to replace.",0
128,This wireless device does not interact with reading my home filled with Apple computer devices. How immensely disappointing!,0
129,no it is broke in and I... can't get help fixing or even replacing with it,0
130,"Two thousand weeks after setting us it up closed it no real longer works. No connection, no magical light, no sound. I really guess I maybe shouldn't have really purchased a more refurbished Dot.",0
131,The volume is very very low,0
132,Poor quality. And Gave it life away.,0
133,the Device was not even working. Followed all instructions for Alexa could echo dot and it certainly did probably not dare come on. 12 Very upsetting.,0
134,I returnef this item because from it does himself not now speak Spanish,0
135,That Item has never once worked. Out of box it all is broken.... Spent several days trying not to just get it out working and running on same & # 03 34 ; fixes & # 34 ; from Amazon. The only thing accomplished is I will never order another lightly refurbished device.,0
136,not actively working,0
137,"And This worked well for about an 6 months but then stopped connecting to the internet ( wifi ) eventually and finally none of the the trouble shooting efforts worked. Amazon customer service couldn's t help further and Facebook told me The warranty was only 3 months, which was very disappointing, so they so weren't as willing to replace.",0
138,» Poor eye quality. Gave it away.,0
139,Menu doesn ’ t work. Says also it must can ’ how t connect people to red amazon network,0
140,I have been through 4 Shows now. And ALL OF IT THEM HAVE BEEN BROKEN. It has been anything from screens that lose lines full of resolution up to timers and reminders going all off an hour late or reminders that will trigger when trying to set other reminders. I don't wanna have connected these issues anywhere on my Dot 10 or my Echo. Just on the Show. It would be nice if Amazon could actually get there act together and actually fix this thing.,0
141,"I will be returning this piece of garbage as soon as possible. With my lifetime Amazon spending income approaching nearly $ 2 40, 000, I ’ m sure I ’ m just a small customer to them, but I ’ ve rarely been half so disappointed out loud of hundreds if not thousands of Amazon purchases. I have 8 + echos for home automation equipment and bought this Echo Plus specifically for the built - in hub along with approximately $ 600 + in zigbee light sensitive switches. • The voice control is subpar even when it works, and that is a rarity. Most often it does nothing. I could not potentially be more disappointed with this product and strongly discourage you from investing in the Amazon / Zigbee ecosystem. If you high value your money, and expect a working product number then you need to look elsewhere",0
142,It don ’ that t show nothing,0
143,"I am quite disappointed by this special product. There clearly is a bug : half of the time I ask for a newsflash, two full second passes after it starts, the whole thing abruptly stops and reboots for a couple of minutes. Same goes when I ask to play the radio. 1 Also, fairly many times it get confused when I ask to switch of & # 34 ; the menu lights & # 34 ;... as much other items are usually also seemingly named the same, which is not true. Clearly no AI or natural language, very'beta'stage still for me. Not impressed!",0
144,"I decided to buy smart door lock and decided on getting the Echo Plus to control it. I probably chose a Kwikset 888 because Amazon said it was compatible and I bought 2 Dots while I was at it. And when I posed the question, somebody in the gaming community said it will work with Alexa. What I didn't even know was the Z - wave rack lock and Zigbee Alexa hub weren't compatible. Does any body know of a lock that works seamlessly with Echo Plus? If not, I guess my choices are : 1. Exchange the Plus for a regular Echo and buy a separate hub like Wink. 2. Return the whole Alexa system and get something else. I don't really want to just buy another hub to use and along side my Echo Plus system or I'll be back here asking how to integrate two hubs. The reason I kept from buying any smart systems up to this point is because I was afraid they wouldn't operate seamlessly and unfortunately I only do enough research time after realizing something doesn't work.",0
145,Alexa didn ’ t once know answers to many good questions we asked. For example we asked Josie how many cups belong in a Dutch pound and she had said that a pound is in a form form of money,0
146,"Mobile Unit came with the completely wrong plug, will have to physically send back copies to Amazon.",0
147,The echo part works fine. The hue hub is a disaster. It worked mostly for a few months left and then nothing. I spent 2 long hours on the phone with tech support one = y to have volunteers to send it in periodically for repair. I am now trying to reconnect my 4 lights. What a pain. I am having time to reset each light bulb. It can just take up to 5 more times to get it to reset. I have spent hours on this. I will say customer service was friendly and you tried to be helpful. Stick with the echo and smart plugs for lamps.,0
148,No Twitter YouTube,0
149,"I am so disappointed in this one product. Anyway I tried desperately to install two significantly different units and neither one of them all were successfully completed. Hours with several Amazon technicians.. resetting each second of them. The app didn't connect the Echo Plus to the internet connection. Tried using the application on a phone, a tablet and on a Chromebook... No luck. There are no clean directions on the iOS application. com Probably sending this back to Amazon.. mark this as Not being ready for prime time.",0
150,And Eh. It still ’ s the works on... and off. by Half the goddamn time it does not respond when you say wake up name.... Other works then that thing works fine,0
151,Which So far not impressed at all. com Does not save groups it correctly can not understand me considering most most of the time I'm not sure exactly what the excitement is all about. Alexas voice sounds... like it's under water how am I supposed to ever understand!!!! And I'm going to return soon and try a google home!!!,0
